stepsize	distance	function	gradient	dist_dualval1	dist_dualval2	func_dualval1	func_dualval2	func_dualval3	func_dualval4	func_dualval5	func_dualval6	grad_dualval1	grad_dualval2	
4.1414e-01	9.1889e-01	9.1889e-01	9.1889e-01	7.9402e-01	7.9402e-01	3.8953e-05	4.4087e-05	1.9660e-02	4.8436e-01	6.1536e-02	1.4229e+00	4.6293e+00	4.6293e+00	
4.5455e-01	9.1116e-01	9.1116e-01	9.1116e-01	8.6778e-01	8.6778e-01	4.2843e-05	4.9837e-05	2.1410e-02	4.8400e-01	6.7525e-02	1.4165e+00	4.2000e+00	4.2000e+00	
4.9495e-01	9.0346e-01	9.0346e-01	9.0346e-01	9.4093e-01	9.4093e-01	1.6170e-05	1.8874e-05	2.3227e-02	4.8137e-01	7.3348e-02	1.4080e+00	3.8408e+00	3.8408e+00	
5.3535e-01	8.9580e-01	8.9580e-01	8.9580e-01	1.0134e+00	1.0134e+00	1.7593e-05	2.0938e-05	2.4916e-02	4.8122e-01	7.9327e-02	1.4019e+00	3.5358e+00	3.5358e+00	
5.7576e-01	8.8816e-01	8.8816e-01	8.8816e-01	1.0853e+00	1.0853e+00	1.8972e-05	2.2977e-05	2.6576e-02	4.8101e-01	8.5302e-02	1.3957e+00	3.2737e+00	3.2737e+00	
6.1616e-01	8.8056e-01	8.8056e-01	8.8056e-01	1.1564e+00	1.1564e+00	2.0312e-05	2.4993e-05	2.8212e-02	4.8070e-01	9.1270e-02	1.3895e+00	3.0464e+00	3.0464e+00	
6.5657e-01	8.7300e-01	8.7300e-01	8.7300e-01	1.2270e+00	1.2270e+00	2.1615e-05	2.6985e-05	2.9826e-02	4.8025e-01	9.7225e-02	1.3831e+00	2.8462e+00	2.8462e+00	
6.9697e-01	8.6546e-01	8.6546e-01	8.6546e-01	1.2969e+00	1.2969e+00	2.2882e-05	2.8952e-05	3.1423e-02	4.7963e-01	1.0317e-01	1.3765e+00	2.6696e+00	2.6696e+00	
7.3737e-01	8.5796e-01	8.5796e-01	8.5796e-01	1.3660e+00	1.3660e+00	2.4106e-05	3.0889e-05	3.3011e-02	4.7876e-01	1.0908e-01	1.3697e+00	2.5124e+00	2.5124e+00	
7.7778e-01	8.5049e-01	8.5049e-01	8.5049e-01	1.4346e+00	1.4346e+00	2.5282e-05	3.2778e-05	3.4606e-02	4.7746e-01	1.1496e-01	1.3625e+00	2.3718e+00	2.3718e+00	
8.1818e-01	8.4306e-01	8.4306e-01	8.4306e-01	1.5025e+00	1.5025e+00	2.6361e-05	3.4511e-05	3.6251e-02	4.7528e-01	1.2075e-01	1.3546e+00	2.2446e+00	2.2446e+00	
8.5859e-01	8.3565e-01	8.3565e-01	8.3565e-01	1.5697e+00	1.5697e+00	2.6740e-05	3.4909e-05	3.8005e-02	4.7164e-01	1.2640e-01	1.3453e+00	2.1294e+00	2.1294e+00	
8.9899e-01	8.2828e-01	8.2828e-01	8.2828e-01	1.6364e+00	1.6364e+00	3.2666e-05	4.4118e-05	3.9532e-02	4.7057e-01	1.3226e-01	1.3384e+00	2.0248e+00	2.0248e+00	
9.3939e-01	8.2095e-01	8.2095e-01	8.2095e-01	1.7023e+00	1.7023e+00	3.4888e-05	4.8165e-05	4.1006e-02	4.6975e-01	1.3813e-01	1.3317e+00	1.9294e+00	1.9294e+00	
9.7980e-01	8.1364e-01	8.1364e-01	8.1364e-01	1.7676e+00	1.7676e+00	3.6378e-05	5.1195e-05	4.2467e-02	4.6879e-01	1.4398e-01	1.3249e+00	1.8413e+00	1.8413e+00	
1.0202e+00	8.0637e-01	8.0637e-01	8.0637e-01	1.8323e+00	1.8323e+00	3.7806e-05	5.4493e-05	4.3893e-02	4.6795e-01	1.4983e-01	1.3182e+00	1.7604e+00	1.7604e+00	
1.0606e+00	7.9913e-01	7.9913e-01	7.9913e-01	1.8962e+00	1.8962e+00	3.8766e-05	5.7448e-05	4.5382e-02	4.6626e-01	1.5559e-01	1.3107e+00	1.6857e+00	1.6857e+00	
1.1010e+00	7.9192e-01	7.9192e-01	7.9192e-01	1.9596e+00	1.9596e+00	3.9035e-05	5.9678e-05	4.7008e-02	4.6314e-01	1.6117e-01	1.3020e+00	1.6166e+00	1.6166e+00	
1.1414e+00	7.8475e-01	7.8475e-01	7.8475e-01	2.0223e+00	2.0223e+00	3.8550e-05	6.1078e-05	4.8821e-02	4.5832e-01	1.6653e-01	1.2919e+00	1.5522e+00	1.5522e+00	
1.1818e+00	7.7760e-01	7.7760e-01	7.7760e-01	2.0843e+00	2.0843e+00	3.7194e-05	6.1382e-05	5.0873e-02	4.5153e-01	1.7162e-01	1.2800e+00	1.4923e+00	1.4923e+00	
1.2222e+00	7.7049e-01	7.7049e-01	7.7049e-01	2.1458e+00	2.1458e+00	3.6336e-05	6.1655e-05	5.3147e-02	4.4311e-01	1.7646e-01	1.2667e+00	1.4364e+00	1.4364e+00	
